Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,152,-51.8,270,top
C2,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,150.8,-119.6,90,top
C3,10uF X5R 0805,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160.3,-48.8,90,top
C4,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,173.9,-53.6,0,top
C5,10nF 50V X7R 0603,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,162.2,-51.65,0,top
C6,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,173.9,-47.6,0,top
C7,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,197.9,-51.55,90,top
C8,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,193.9,-48.55,180,top
C9,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,180.2,-53.1,0,top
C10,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,189.3,-47.35,0,top
C11,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,198,-61.1,90,top
C12,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,194,-58.1,180,top
C13,10nF 50V X7R 0603,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,166,-51.65,0,top
C14,10uF X5R 0805,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,168.9,-48.6,90,top
C15,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,147.925,-95.2,0,top
C16,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,180.3,-62.65,0,top
C17,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,189.4,-56.9,0,top
C18,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,198.1,-70.95,90,top
C19,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,194.1,-67.95,180,top
C20,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,180.4,-72.5,0,top
C21,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,189.5,-66.75,0,top
C22,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,198.1,-81.05,90,top
C23,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,194.1,-78.05,180,top
C24,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,180.4,-82.6,0,top
C25,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,189.5,-76.85,0,top
C26,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,198.075,-91.55,90,top
C27,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,194.075,-88.55,180,top
C28,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,180.375,-93.1,0,top
C29,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,189.475,-87.35,0,top
C30,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,198.1,-101.85,90,top
C31,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,194.1,-98.85,180,top
C32,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,180.4,-103.4,0,top
C33,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,189.5,-97.65,0,top
C34,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,198.1,-111.35,90,top
C35,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,194.1,-108.35,180,top
C36,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,180.4,-112.9,0,top
C37,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,189.5,-107.15,0,top
C38,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,198.1,-121.35,90,top
C39,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,194.1,-118.35,180,top
C40,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,180.4,-122.9,0,top
C41,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,189.5,-117.15,0,top
C42,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,149.6,-75.4,270,top
C43,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,147.6,-75.4,270,top
C44,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,151,-56.9,180,top
C45,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,154,-63.5,90,top
C46,10uF X5R 0805,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160.4,-58.35,90,top
C47,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,174,-63.15,0,top
C48,10nF 50V X7R 0603,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,162.3,-61.2,0,top
C49,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,174,-57.15,0,top
C50,10nF 50V X7R 0603,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,166.1,-61.2,0,top
